name,n_train,n_val,n_params,epochs,time_s,best_val,pi_zero_max,monotone_rate,roundtrip_err,zi
E,130392,27960,20885,32,24.0,0.10915839672088623,0.0,1.0,6.080232850536049e-08,False
W,130392,27960,20501,36,26.0,0.07835070043802261,0.0,1.0,1.085396888811374e-06,False
C_tilde,65880,12864,20886,37,12.7,0.4229663759469986,0.9999986886978149,1.0,1.0881572976018106e-08,True
H_tilde,64512,15096,20758,52,17.1,0.5768510699272156,0.9993447661399841,1.0,1.2197302567074075e-05,True
g_GE,59130,12675,20246,41,13.2,0.5782734602689743,0.9946755170822144,1.0,1.058839274037382e-07,True
g_FC,63912,13704,20246,9,3.2,0.775812417268753,0.060560472309589386,1.0,1.787580572454317e-08,True
G_AC,70640,15244,20374,13,4.7,0.215333953499794,0.017984306439757347,1.0,1.529231674624043e-08,True
g_B,130392,27960,20630,11,8.0,0.33421339094638824,0.2619204819202423,1.0,3.98028632275782e-08,True
