variable,MAE,MSE,scale
Electricity,1056.6085909819976,2005285.0809154457,original
PV,223.4353691991645,124647.07593603371,original
Cooling,543.5336675135258,548578.8950493153,original
Heat,0.2681082234487193,0.1509501958594267,original
