metric,value,scale
CRPS,0.1312489177170903,standardized
QICE,0.027813367806185967,standardized
ES,2.0635200594732455,standardized
VS,0.03903314424775296,standardized
MAE,0.17775540350497848,standardized
VMAE,0.6729937511123735,standardized
MSE,0.11061212124523619,standardized
