variable,MAE,MSE,scale
Electricity,1178.04603412573,2547108.7737240256,original
PV,366.94128215745593,1116687.2443024034,original
Cooling,530.871549722302,564504.930767021,original
Heat,0.31733825473188154,0.19753179403599294,original
